Player,Min,Sh,Ast,Gls
Franco Cervi,273,0,0,0
Julian Chabot,2269,19,1,3
El Chadaille Bitshiabu,1130,5,0,0
Fares Chaïbi,1013,25,3,1
Trevoh Chalobah,1060,11,0,3
Trevoh Chalobah,910,7,1,0
Timothy Chandler,24,0,0,0
Conor Chaplin,857,16,1,1
Brendan Chardonnet,2416,14,0,1
Gabriel Charpentier,271,9,2,1
Raúl Chasco,130,0,0,0
Anrie Chase,734,5,0,0
Pep Chavarría,2585,11,1,0
Arthur Chaves,2185,10,0,1
Jhoanner Chávez,596,5,0,1
Walid Cheddira,12,0,0,0
Walid Cheddira,640,13,1,1
Chema,12,0,0,0
Théo Chennahi,181,2,0,0
Sidiki Cherif,324,5,0,0
Rayan Cherki,2041,45,11,8
Youssef Chermiti,45,3,0,0
Lucas Chevalier,3060,0,0,0
Fabio Chiarodia,379,4,0,1
Julián Chicco,302,3,1,0
Leandro Chichizola,90,0,0,0
Federico Chiesa,108,5,0,0
Ben Chilwell,259,5,0,1
Chiquinho,7,0,0,0
Chiquinho,146,4,0,0
Pedro Chirivella,2348,8,2,0
Joris Chotard,1892,19,0,1
Hamza Choudhury,131,0,0,0
Andreas Christensen,254,1,0,0
Ryan Christie,2117,33,3,2
Carney Chukwuemeka,253,8,0,1
Samuel Chukwueze,925,32,2,3
Aaron Ciammaglichella,1,0,0,0
Jasper Cillessen,2335,0,0,0
Giuseppe Ciocci,9,0,0,0
Alessandro Circati,540,2,0,0
Pathé Ciss,2140,21,1,4
Alphadjo Cissè,9,2,0,0
Djaoui Cissé,1121,15,0,1
Seydouba Cissé,2435,24,1,3
Yoann Cissé,5,0,0,0
Patrick Ciurria,1111,11,1,1
Harry Clarke,379,1,0,0
Jack Clarke,1181,17,4,0
Alexis Claude-Maurice,2109,59,2,9
Jonathan Clauss,2303,26,8,3
Silvi Clúa,163,2,0,0
Nathaniel Clyne,483,2,0,0
Conor Coady,1714,2,0,1
Marcus Coco,951,2,1,0
Saúl Coco,2845,20,0,2
Séamus Coleman,215,1,0,0
Nathan Collins,3420,17,3,2
Nnamdi Collins,1489,5,1,1
Toby Collyer,179,1,0,0
Lorenzo Colombo,2233,55,2,6
Andrea Colpani,1432,35,1,2
Levi Colwill,3149,17,1,2
Florinel Coman,263,4,0,1
Kingsley Coman,1282,44,4,5
Eray Cömert,1779,9,0,0
Santi Comesaña,2560,39,2,4
Pietro Comuzzo,2110,5,0,1
Francisco Conceição,1340,40,3,3
Diego Conde,1962,0,1,0
Tomás Conechny,847,22,0,1
Alois Confais,3,0,0,0
Sirlord Conteh,892,13,1,1
Lewis Cook,2978,14,3,1
Copete,1528,6,0,0
Diego Coppola,2927,10,0,2
Francis Coquelin,224,7,1,1
Iker Córdoba,15,0,0,0
Derek Cornelius,1420,9,0,0
Maxwel Cornet,72,1,0,0
Maxwel Cornet,246,5,1,2
Pierre Cornud,576,0,0,0
Ángel Correa,805,34,1,4
Joaquín Correa,731,14,2,2
Thierry Correia,768,7,0,0
Alberto costa,357,7,1,0
Coba da Costa,1006,23,1,1
Danny da Costa,2006,5,1,0
David Costa,352,9,0,0
Logan Costa,2587,12,1,2
Logan Costa,90,0,0,0
Samu Costa,2649,30,2,0
Grégoire Coudert,180,0,0,0
Vladimír Coufal,1067,7,0,0
Lassana Coulibaly,2667,9,0,1
Lasso Coulibaly,45,3,0,1
Mamadou Coulibaly,8,1,0,0
Soumaïla Coulibaly,438,4,0,0
Tanguy Coulibaly,1485,30,0,3
Woyo Coulibaly,109,2,0,0
Woyo Coulibaly,1084,3,1,0
Marius Courcoul,309,3,0,0
Thibaut Courtois,2700,0,0,0
Yan Couto,895,6,0,0
Nicolas Cozza,2051,17,0,1
Aaron Cresswell,824,5,0,0
Charlie Cresswell,2592,32,1,3
Bryan Cristante,2045,30,2,4
Domen Črnigoj,136,1,0,0
Juan Cruz Armada,1492,4,0,0
Juan Cruz,2257,33,4,5
Juan Cuadrado,832,16,2,0
Pau Cubarsí,2618,8,3,0
Cucho,1139,43,1,5
Marc Cucurella,2988,24,1,5
Jorge Cuenca,351,1,0,0
Matheus Cunha,2597,110,6,15
Patrick Cutrone,2047,69,4,7
Tomáš Čvančara,831,24,0,2
Wylan Cyprien,28,1,0,0
Danilo D'Ambrosio,1095,9,1,0
Lucas Da Cunha,2613,37,2,3
Samuel Dahl,43,0,0,0
Finn Dahmen,1710,0,0,0
Thomas Dähne,810,0,0,0
Mahmoud Dahoud,364,7,1,1
Patson Daka,736,15,0,1
Ameen Al-Dakhil,432,1,0,0
Thijs Dallinga,1154,31,2,3
Diogo Dalot,2814,25,3,0
Mikkel Damsgaard,2911,35,10,2
Maat Daniel Caprini,7,0,0,0
Flavius Daniliuc,1004,3,0,0
Danilo,275,0,0,0
Danilo,581,1,1,0
Arnaut Danjuma,200,6,0,2
Arnaut Danjuma,1335,30,0,2
Jayden Danns,11,0,0,0
Kévin Danois,1460,17,0,0
Kevin Danso,842,7,0,0
Kevin Danso,1080,10,0,0
Dante,1964,9,0,0
Pape Daouda Diongue,78,5,0,1
Mohamed Daramy,16,1,0,0
Bence Dárdai,1304,11,1,1
Sergi Darder,2744,36,6,2
Matteo Darmian,1781,11,2,3
Lukas Daschner,412,8,1,1
Juan David Cabal,460,5,0,0
Jonathan David,2554,66,5,16
Alphonso Davies,1560,17,2,1
Ben Davies,1331,5,0,0
Keinan Davis,1066,29,1,2
Leif Davis,2743,16,2,1
Zuriko Davitashvili,2778,68,8,9
Paweł Dawidowicz,1845,4,0,0
Craig Dawson,971,5,0,0
Kevin De Bruyne,1702,57,7,4
Bobby De Cordova-Reid,744,7,2,1
Charles De Ketelaere,2070,48,7,7
Rodrigo De Paul,2106,19,5,3
Théo De Percin,180,0,0,0
Mattia De Sciglio,769,5,0,1
Lorenzo De Silvestri,1060,9,0,1
Thibault De Smet,192,1,0,0
Koni De Winter,2135,13,0,3
Amar Dedić,314,6,1,0
Alessandro Deiola,1432,18,1,2
Romain Del Castillo,1259,17,4,6
Enrico Del Prato,2947,12,0,4
Thomas Delaine,9,0,0,0
Liam Delap,2593,66,2,12
Fisayo Dele-Bashiru,947,16,1,3
Andy Delort,607,17,0,0
Olivier Deman,67,0,0,0
Ali Dembélé,388,5,0,1
Ousmane Dembélé,1730,96,6,21
Ermedin Demirović,1855,64,1,15
Sepp van den Berg,2586,20,0,0
Rémy Descamps,90,0,0,0
Arthur Desmas,1620,0,0,0
Justin Devenny,507,10,1,1
Kiernan Dewsbury-Hall,264,1,1,0
Michele Di Gregorio,2970,0,0,0
Giovanni Di Lorenzo,3330,21,2,3
Boulaye Dia,2177,39,3,9
Mouctar Diakhaby,653,11,0,2
Mamadou Diakhon,858,18,1,2
Bafodé Diakité,2766,16,1,4
Oumar Diakité,1628,26,1,4
Amad Diallo,1901,47,6,8
Assane Diao,1252,28,1,8
Assane Diao,277,7,2,1
Habib Diarra,2352,25,5,4
Moussa Diarra,1866,1,0,0
Rúben Dias,2271,21,0,0
Krépin Diatta,508,2,0,0
Kandet Diawara,4,0,0,0
Mahamadou Diawara,582,7,1,0
Mahamadou Diawara,16,0,0,0
Brahim Díaz,1385,28,2,4
Daniel Díaz,10,0,0,0
Luis Díaz,2399,71,5,13
Pedro Díaz,1211,31,0,3
Tyler Dibling,1874,28,0,2
Diego,1195,29,0,3
Justin Diehl,104,7,0,1
Bamba Dieng,532,13,0,3
Eric Dier,1463,9,1,2
Lucas Digne,2351,13,4,0
Kembo Diliwidi,4,0,0,0
Federico Dimarco,2140,55,7,4
Stole Dimitrievski,360,0,0,0
Junior Dina Ebimbe,293,8,1,0
Eren Dinkçi,1196,14,3,0
Sinaly Diomande,1945,9,2,3
Yan Diomandé,545,11,1,2
Lois Diony,21,0,0,0
Issa Diop,1339,5,0,0
Sérigné Diop,4,0,0,0
Sofiane Diop,1064,22,4,6
Andy Diouf,2225,40,2,1
Yehvann Diouf,3060,1,0,0
Assane Dioussé,663,3,0,0
Axel Disasi,490,2,0,0
Axel Disasi,364,2,0,1
Roman Dixon,90,0,0,0
Álvaro djaló,659,15,0,1
Djené,2548,6,0,0
Nasser Djiga,66,0,0,0
Berat Djimsiti,2640,20,2,1
Marko Dmitrović,2880,0,0,0
Ritsu Doan,2862,61,7,10
Dodô,3025,25,4,0
Danilho Doekhi,3060,32,1,1
Matt Doherty,2109,10,1,2
Jeremy Doku,1516,29,6,3
Marc Domenech,303,8,0,0
Álex Domínguez,19,0,0,0
Benjamín Domínguez,1281,30,2,3
Carlos Dominguez,1181,3,0,0
Israel Domínguez,18,0,0,0
Nicolás Domínguez,1963,21,1,0
Sergi Dominguez,172,0,0,0
Gianluigi Donnarumma,2091,0,0,0
Patrick Dorgu,842,10,0,0
Patrick Dorgu,1840,36,1,3
Alfie Dorrington,14,0,0,0
Niklas Dorsch,32,0,0,0
Niklas Dorsch,1335,9,2,2
Alberto Dossena,1825,12,2,0
Abdoulaye Doucouré,2564,31,2,3
Cheick Doucouré,452,7,0,0
Sékou Doucoure,12,0,0,0
Désiré Doué,1730,55,6,6
Guela Doué,2717,18,2,1
Douglas,2307,36,2,4
Ismaël Doukouré,2639,3,1,1
Issa Doumbia,939,16,0,0
Kamory Doumbia,1322,22,2,3
Amidou Doumbouya,46,0,0,0
Anastasios Douvikas,580,14,2,2
Anastasios Douvikas,700,17,1,3
